time,index,rover_pos_x,rover_pos_y,target_pos_x,target_pos_y
10,2144,259541.522235842,3484713.16934589,259540.732058752,3484713.14206592
,,,,,
10.2,2144,259541.433577835,3484713.15786156,259540.732058752,3484713.14206592
,,,,,
10.4,2215,259541.344583186,3484713.14936863,259541.366782205,3484713.69951195
,,,,,
10.6,2215,259541.258242179,3484713.17255148,259541.366782205,3484713.69951195
,,,,,
10.8,2215,259541.185024528,3484713.22384884,259541.366782205,3484713.69951195
,,,,,
11,2215,259541.132253181,3484713.29601151,259541.366782205,3484713.69951195
,,,,,
11.2,2215,259541.103182223,3484713.38055242,259541.366782205,3484713.69951195
,,,,,
11.4,2215,259541.097755981,3484713.46978725,259541.366782205,3484713.69951195
,,,,,
11.6,2216,259541.114058581,3484713.55768798,259541.439854973,3484713.88531738
,,,,,
11.8,2216,259541.145260052,3484713.6414662,259541.439854973,3484713.88531738
,,,,,
12,2217,259541.188458492,3484713.7197364,259541.495715302,3484714.14973404
,,,,,
12.2,2218,259541.234405056,3484713.7964257,259541.639567767,3484714.44299518
,,,,,
12.4,2218,259541.280841553,3484713.87281936,259541.639567767,3484714.44299518
,,,,,
12.6,2218,259541.327648931,3484713.94898637,259541.639567767,3484714.44299518
,,,,,
12.8,2218,259541.37474303,3484714.02497646,259541.639567767,3484714.44299518
,,,,,
13,2218,259541.422064716,3484714.10082505,259541.639567767,3484714.44299518
,,,,,
13.2,2219,259541.469573405,3484714.17655665,259541.751559861,3484714.7911756
,,,,,
13.4,2219,259541.513936545,3484714.2541728,259541.751559861,3484714.7911756
,,,,,
13.6,3291,259541.555807716,3484714.33316115,259541.750212398,3484714.13535161
,,,,,
13.8,3291,259541.622673267,3484714.39250215,259541.750212398,3484714.13535161
,,,,,
14,3291,259541.706064936,3484714.42472304,259541.750212398,3484714.13535161
,,,,,
14.2,3291,259541.79545781,3484714.42585063,259541.750212398,3484714.13535161
,,,,,
14.4,3291,259541.879693799,3484714.39590642,259541.750212398,3484714.13535161
,,,,,
14.6,3291,259541.948477208,3484714.33879949,259541.750212398,3484714.13535161
,,,,,
14.8,3293,259541.993659674,3484714.2616574,259541.459587863,3484714.31476175
,,,,,
15,3294,259542.012538132,3484714.1742734,259541.294859202,3484714.42136204
,,,,,
15.2,3294,259542.002621243,3484714.08542513,259541.294859202,3484714.42136204
,,,,,
15.4,3294,259541.962923961,3484714.00532217,259541.294859202,3484714.42136204
,,,,,
15.6,3294,259541.897702878,3484713.94417832,259541.294859202,3484714.42136204
,,,,,
15.8,3294,259541.815627855,3484713.90873753,259541.294859202,3484714.42136204
,,,,,
16,3294,259541.726611788,3484713.90046108,259541.294859202,3484714.42136204
,,,,,
16.2,3294,259541.638666844,3484713.91652491,259541.294859202,3484714.42136204
,,,,,
16.4,3294,259541.556694131,3484713.95220171,259541.294859202,3484714.42136204
,,,,,
16.6,3294,259541.482969015,3484714.00276818,259541.294859202,3484714.42136204
,,,,,
16.8,3294,259541.418176417,3484714.0643659,259541.294859202,3484714.42136204
,,,,,
17,3294,259541.362291867,3484714.1341461,259541.294859202,3484714.42136204
,,,,,
17.2,3294,259541.315174511,3484714.21012185,259541.294859202,3484714.42136204
,,,,,
17.4,3296,259541.277006988,3484714.29096491,259540.784059966,3484714.68092769
,,,,,
17.6,3296,259541.227878632,3484714.36565604,259540.784059966,3484714.68092769
,,,,,
17.8,3296,259541.17068335,3484714.434366,259540.784059966,3484714.68092769
,,,,,
18,3296,259541.107444691,3484714.49755803,259540.784059966,3484714.68092769
,,,,,
18.2,3297,259541.03952627,3484714.55569105,259540.443463799,3484714.77568865
,,,,,
18.4,3297,259540.965661123,3484714.60605274,259540.443463799,3484714.77568865
,,,,,
18.6,3297,259540.887713354,3484714.64983065,259540.443463799,3484714.77568865
,,,,,
18.8,3297,259540.806886337,3484714.68803213,259540.443463799,3484714.77568865
,,,,,
19,3298,259540.723950935,3484714.72140996,259540.205606131,3484714.8658598
,,,,,
19.2,3298,259540.639930494,3484714.75195379,259540.205606131,3484714.8658598
,,,,,
19.4,3298,259540.555102793,3484714.78017826,259540.205606131,3484714.8658598
,,,,,
19.6,3312,259540.46964506,3484714.80643347,259539.989528479,3484714.79393039
,,,,,
19.8,3312,259540.382051994,3484714.82431683,259539.989528479,3484714.79393039
,,,,,
20,3312,259540.293303125,3484714.83508708,259539.989528479,3484714.79393039
,,,,,
20.2,3318,259540.204016709,3484714.83959219,259539.640384209,3484714.85449666
,,,,,
20.4,3318,259540.114699401,3484714.84343645,259539.640384209,3484714.85449666
,,,,,
20.6,3318,259540.025360874,3484714.84675122,259539.640384209,3484714.85449666
,,,,,
20.8,3319,259539.936007106,3484714.84962597,259539.525465578,3484714.87434473
,,,,,
21,3320,259539.846679978,3484714.85323487,259539.437626261,3484714.87231139
,,,,,
21.2,3322,259539.75735959,3484714.85700692,259539.239548862,3484714.89352388
,,,,,
21.4,3322,259539.668074954,3484714.86154715,259539.239548862,3484714.89352388
,,,,,
21.6,3323,259539.578824326,3484714.86671294,259539.12802777,3484714.90237686
,,,,,
21.8,3324,259539.489608069,3484714.87244177,259539.018205495,3484714.92303922
,,,,,
22,3324,259539.400472961,3484714.87931872,259539.018205495,3484714.92303922
,,,,,
22.2,3325,259539.311416534,3484714.88714897,259538.903324572,3484714.93751684
,,,,,
22.4,3326,259539.222445566,3484714.89589694,259538.787092282,3484714.9618329
,,,,,
22.6,3327,259539.133621307,3484714.90602665,259538.623408072,3484715.01109656
,,,,,
22.8,3327,259539.045106744,3484714.91857783,259538.623408072,3484715.01109656
,,,,,
23,3328,259538.956893199,3484714.93309439,259538.383711087,3484715.11056276
,,,,,
23.2,3328,259538.86937789,3484714.95135447,259538.383711087,3484715.11056276
,,,,,
23.4,3328,259538.782528878,3484714.97255846,259538.383711087,3484715.11056276
,,,,,
23.6,3329,259538.696298551,3484714.99615275,259538.132811774,3484715.22563075
,,,,,
23.8,3329,259538.611006666,3484715.02294183,259538.132811774,3484715.22563075
,,,,,
24,3329,259538.526540169,3484715.05222955,259538.132811774,3484715.22563075
,,,,,
24.2,3329,259538.442800574,3484715.08353515,259538.132811774,3484715.22563075
,,,,,
24.4,3330,259538.359717151,3484715.1165428,259537.900980156,3484715.35689999
,,,,,
24.6,3330,259538.277725954,3484715.1521771,259537.900980156,3484715.35689999
,,,,,
24.8,3330,259538.196687138,3484715.1899272,259537.900980156,3484715.35689999
,,,,,
25,3332,259538.11650207,3484715.22945839,259537.641200398,3484715.54780201
,,,,,
25.2,3332,259538.037995415,3484715.27222596,259537.641200398,3484715.54780201
,,,,,
25.4,3361,259537.960925176,3484715.31753091,259538.092362475,3484714.73656724
,,,,,
25.6,3361,259537.874152218,3484715.33904401,259538.092362475,3484714.73656724
,,,,,
25.8,3361,259537.785013846,3484715.33220949,259538.092362475,3484714.73656724
,,,,,
26,3361,259537.703422948,3484715.29566793,259538.092362475,3484714.73656724
,,,,,
26.2,3361,259537.63974976,3484715.23291377,259538.092362475,3484714.73656724
,,,,,
26.4,3361,259537.601651206,3484715.15203818,259538.092362475,3484714.73656724
,,,,,
26.6,3400,259537.591867314,3484715.06317517,259538.108449312,3484715.88685187
,,,,,
26.8,3400,259537.597222253,3484714.97393569,259538.108449312,3484715.88685187
,,,,,
27,3400,259537.62087316,3484714.88772087,259538.108449312,3484715.88685187
,,,,,
27.2,3400,259537.665199498,3484714.81008366,259538.108449312,3484715.88685187
,,,,,
27.4,3400,259537.730216419,3484714.74872276,259538.108449312,3484715.88685187
,,,,,
27.6,3400,259537.811753047,3484714.71206027,259538.108449312,3484715.88685187
,,,,,
27.8,3400,259537.900953621,3484714.70609223,259538.108449312,3484715.88685187
,,,,,
28,3400,259537.98674789,3484714.73122594,259538.108449312,3484715.88685187
,,,,,
28.2,3400,259538.060250234,3484714.78211568,259538.108449312,3484715.88685187
,,,,,
28.4,3400,259538.117442058,3484714.85082852,259538.108449312,3484715.88685187
,,,,,
28.6,3400,259538.158532836,3484714.93022568,259538.108449312,3484715.88685187
,,,,,
28.8,3400,259538.185844513,3484715.01535166,259538.108449312,3484715.88685187
,,,,,
29,3400,259538.202163081,3484715.10324969,259538.108449312,3484715.88685187
,,,,,
29.2,3400,259538.209970586,3484715.19230811,259538.108449312,3484715.88685187
,,,,,
29.4,3400,259538.211234017,3484715.28169919,259538.108449312,3484715.88685187
,,,,,
29.6,3400,259538.20742822,3484715.37101814,259538.108449312,3484715.88685187
,,,,,
29.8,3400,259538.199624491,3484715.4600769,259538.108449312,3484715.88685187
,,,,,
30,3400,259538.188578294,3484715.54879184,259538.108449312,3484715.88685187
,,,,,
30.2,3401,259538.174793982,3484715.63712277,259538.192409494,3484716.22181144
