time,index,rover_pos_x,rover_pos_y,target_pos_x,target_pos_y,index_slope
28,6801,259537.988920011,3484715.66501927,259538.159180111,3484716.0385923,5
,,,,,,
28.2,6802,259537.985827203,3484715.75436575,259538.192409494,3484716.22181144,0
,,,,,,
28.4,6802,259537.994725124,3484715.84332185,259538.192409494,3484716.22181144,5
,,,,,,
28.6,6803,259538.01344648,3484715.93073964,259538.243555594,3484716.41256054,0
,,,,,,
28.8,6803,259538.038359787,3484716.01659817,259538.243555594,3484716.41256054,5
,,,,,,
29,6804,259538.068215034,3484716.10086575,259538.276816988,3484716.61776763,0
,,,,,,
29.2,6804,259538.099186163,3484716.18472962,259538.276816988,3484716.61776763,5
,,,,,,
29.4,6805,259538.131049291,3484716.26825866,259538.316195173,3484716.80620337,0
,,,,,,
29.6,6805,259538.162060334,3484716.35210779,259538.316195173,3484716.80620337,5
,,,,,,
29.8,6806,259538.192387728,3484716.43620659,259538.349703456,3484716.98090683,0
,,,,,,
30,6806,259538.221022921,3484716.52089653,259538.349703456,3484716.98090683,
,,,,,,
30.2,6806,259538.248295451,3484716.60603506,259538.349703456,3484716.98090683,
