259634.08,3484858.28
259613.77,3484847.71
259594.33,3484835.12
259576.44,3484820.56
259560.79,3484803.16
259552.81,3484781.54
259548.7,3484758.48
259546.87,3484735.47
259542.67,3484723.38
259543.96,3484746.55
259546.57,3484769.54
259551.98,3484791.97
259562.72,3484811.97
259579.21,3484827.79
259597.33,3484841.78
259617.05,3484853.25
259622.38,3484860.64
259602.1,3484849.28
259583.04,3484835.73
259565.67,3484820.42
259544.8,3484801.52
259544.8,3484779.23
259541.06,3484756.27
259539.45,3484733.09
259554.8,3484727.88
259536.96,3484751.4
259540.13,3484774.61
259545.93,3484797.19
259557.01,3484816.58
259573.46,3484832.5
259591.7,3484846.83
259611.42,3484859
259606.35,3484860.44
259586.72,3484847.69
259568.75,3484833.26
259552.28,3484816.5
259541.57,3484795.38
259535.98,3484772.78
259533.16,3484749.68
259528.74,3484739.46
259530.75,3484763.04
259535.11,3484786.13
259542.62,3484808.07
259556.37,3484826.66
259573.63,3484842.18
259592.36,3484856.11
259580.12,3484854.24
259562,3484839.52
259545.63,3484822.8
259534.22,3484802.28
259528.04,3484779.71
259524.56,3484756.11
259521.02,3484757.81
259524.53,3484780.75
259530.78,3484803.69
259541.4,3484823.49
259557.22,3484484.18
259559.03,3484846.6
259542.12,3484830.01
259529.43,3484810.03
259522.38,3484788.14
259518.16,3484765.31
259515.5,3484772.45
259520.48,3484795.22
259528.72,3484816.98
259542.53,3484835.92
259538.08,3484836.46
259524.64,3484817
259516.65,3484794.99
259511.7,3484790.64
